Code, 132
Google-chrome, 151
Gjs, 3
desktop, 6
Org.gnome.Nautilus, 31
Gnome-terminal, 51
Shotwell, 2
Google-chrome-stable, 1
Gnome-tweaks, 5
Gnome-session-properties, 7
Wpsoffice, 1
Gedit, 1
